especievalida,nombrecomun,categoriaresidenciaaves,longitud,latitud
Amazilia yucatanensis yucatanensis,colibrí yucateco,Residente (R),-91.3085,16.2022778
Amazona albifrons,loro frente blanca,Residente (R),-96.8705558,15.8469438
Amazona albifrons albifrons,loro frente blanca,Residente (R),-95.0333333,16.7516667
Amazona auropalliata,loro nuca amarilla,Residente (R),-92.4592527,14.8590219
Amazona auropalliata auropalliata,loro nuca amarilla,Residente (R),-91.3065833,16.2008333
Amazona autumnalis,loro cachetes amarillos,Residente (R),-95.01698,18.35812
Amazona autumnalis autumnalis,loro cachete amarillo,Residente (R),-91.30125,16.2028611
Amazona farinosa,loro corona azul,Residente (R),-94.3,17.15
Amazona finschi,loro corona lila,Residente (R),-105.4616669,20.3047219
Amazona oratrix,loro cabeza amarilla,Residente (R),-96.8705558,15.8469438
Amazona oratrix oratrix,loro cabeza amarilla,Residente (R),-98.18,22.055
Amazona viridigenalis,loro tamaulipeco,Residente (R),-98.0166667,24.7666667
Amazona xantholora,loro yucateco,Residente (R),-89.3008333,18.605
Amblycercus holosericeus,cacique pico claro,Residente (R),-89.5540482,21.0237991
Amblycercus holosericeus holosericeus,cacique pico amarillo,Residente (R),-91.0730556,16.0789722
Ammodramus savannarum,gorrión chapulín,Residente (R); Migratoria de invierno (MI),-99.1195214,20.0073064
Ammospiza leconteii,gorrión de Le Conte,Accidental (A),-97.7453613,24.7062915
Ammospiza maritima,gorrión costero,Residente (R),-97.1484947,25.9482821
Ammospiza nelsoni,"gorrión cola aguda de Nelson, gorrión de Nelson",Accidental (A),-114.10656,28.030772
Amphispiza bilineata,zacatonero garganta negra,Residente (R),-114.4300045,28.8824166
Amphispizopsis quinquestriata,zacatonero cinco rayas,Residente (R),-109.67802,28.57998
Anabacerthia variegaticeps,"breñero cejudo, musguero trepador",Residente (R),-95.1468534,18.5228338
Anabacerthia variegaticeps variegaticeps,breñero cejudo,Residente (R),-92,15.9533333
Anas acuta,pato golondrino,Migratoria de invierno (MI),-107.051959,28.778837
Anas crecca,cerceta alas verdes,Migratoria de invierno (MI),-99.4973373,19.1531034
Anas diazi,pato mexicano,Residente (R); Migratoria de invierno (MI),-101.6294444,19.5469444
Anas fulvigula,pato tejano,Residente (R); Migratoria de invierno (MI),-98.13037,26.07351
Anas platyrhynchos,pato de collar,Residente (R); Migratoria de invierno (MI),-99.1991347,19.4178989
Anhinga anhinga,anhinga americana,Residente (R),-86.8196574,21.1464199
Anous minutus,"charrán corona blanca, charrán-bobo negro",Accidental (A); Oceánica (O),-87.2861195,20.4436616
Anous stolidus,"charrán café, charrán-bobo café",Residente (R),-87.0786695,20.6189221
Anser albifrons,ganso careto mayor,Migratoria de invierno (MI),-113.5935403,31.3597974
Anser albifrons albifrons,ganso careto-mayor,Migratoria de invierno (MI),-101.0666667,21.155
Anser caerulescens,ganso blanco,Migratoria de invierno (MI),-104.5032663,24.0877183
Anser rossii,ganso de Ross,Migratoria de invierno (MI),-108.45,30.7666667
Anthracothorax prevostii,colibrí garganta negra,Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV),-87.0275268,20.3097273
Anthracothorax prevostii prevostii,colibrí garganta negra,Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV),-87.2516667,21.535
Anthus cervinus,bisbita garganta roja,Accidental (A),-114.5736909,29.6066679
Anthus hodgsoni,bisbita de oriente,Accidental (A),-114.6964388,29.7290952
Anthus rubescens,"bisbita de agua, bisbita norteamericana",Migratoria de invierno (MI),-100.581523,25.021968
Anthus spragueii,bisbita llanera,Migratoria de invierno (MI),-100.662,24.7654
Antigone canadensis,grulla gris,Migratoria de invierno (MI),-106.3934755,29.4581924
Antrostomus arizonae,tapacaminos cuerporruín mexicano,Residente (R); Migratoria de verano (MV),-99.1195214,20.0073064
Antrostomus badius,"tapacamino huil, tapacaminos yucateco",Residente (R),-86.9159475,20.8526565
Antrostomus carolinensis,"tapacamino de Carolina, tapacaminos de carolina",Migratoria de invierno (MI); Transitoria (T),-94,17.75
Antrostomus ridgwayi,"tapacamino tu-cuchillo, tapacaminos tucuchillo",Residente (R); Migratoria de verano (MV),-105.1196864,20.753688
Antrostomus salvini,"tapacamino ticuer, tapacaminos ticurú",Residente (R),-91.584886,16.980111
Antrostomus vociferus,tapacaminos cuerporruín norteño,Migratoria de invierno (MI),-100.2833333,25.5333333
Aphelocoma californica,chara californiana,Residente (R),-116.6790193,31.8921262
Aphelocoma californica californica,chara occidental,Residente (R),-109.6016667,23.0883333
Aphelocoma ultramarina,"chara pecho gris neovolcánica, chara transvolcánica",Residente (R),-99.249065,19.009524
Aphelocoma ultramarina ultramarina,chara pecho gris,Residente (R),-96.9283333,19.545
Aphelocoma unicolor,chara unicolor,Residente (R),-100.1943898,17.4221123
Aphelocoma unicolor unicolor,chara unicolor,Residente (R),-92.0933333,16.9016667
Aphelocoma wollweberi,chara pecho gris,Residente (R),-102.7214072,21.7216511
Aphelocoma woodhouseii,chara de collar,Residente (R),-101.1433333,23.2957992
Aquila chrysaetos,águila real,Residente (R); Migratoria de invierno (MI),-100.581523,25.021968
Ara macao,guacamaya roja,Residente (R),-92.65,15.35
Ara militaris,guacamaya verde,Residente (R),-102.2227777,18.5430558
Aramides albiventris,rascón nuca canela,Residente (R),-88.3018971,18.493776
Aramides axillaris,"rascón cuello canela, rascón cuello rufo",Residente (R),-105.246459,21.528242
Aramus guarauna,carrao,Residente (R),-88.2353052,18.8797935
Archilochus alexandri,colibrí barba negra,Migratoria de invierno (MI); Migratoria de verano (MV),-105.4724853,20.3953046
Archilochus colubris,colibrí garganta rubí,Migratoria de invierno (MI); Transitoria (T),-100.1943898,17.4221123
Ardea alba,garza blanca,Residente (R); Migratoria de invierno (MI),-89.0320753,18.4323762
Ardea herodias,garza morena,Residente (R); Migratoria de invierno (MI),-101.1582096,19.648509
Ardea herodias herodias,garza morena,Residente (R); Migratoria de invierno (MI),-114.4266667,29.965
Ardenna bulleri,pardela de Buller,Transitoria (T); Oceánica (O),-117.305961,32.214524
Ardenna carneipes,pardela patas pálidas,Transitoria (T); Oceánica (O),-109.25,22.2333
Ardenna creatopus,pardela patas rosadas,Transitoria (T); Oceánica (O),-111.2557983,27.9689337
Ardenna gravis,pardela mayor,Accidental (A); Oceánica (O),-87.679503,21.514806
Ardenna grisea,pardela gris,Transitoria (T); Oceánica (O),-111.2557983,27.9689337
Ardenna pacifica,pardela cola cuña,Residente (R); Transitoria (T); Oceánica (O),-96.234524,15.476918
Ardenna tenuirostris,pardela cola corta,Transitoria (T); Oceánica (O),-100.2667,16.85
Arenaria interpres,vuelvepiedras rojizo,Migratoria de invierno (MI),-97.7375,23.7916667
Arenaria melanocephala,vuelvepiedras negro,Migratoria de invierno (MI),-113.5321021,31.3265914
Arremon aurantiirostris,rascador pico naranja,Residente (R),-94.3,17.15
Arremon brunneinucha,"atlapetes gorra castaña, rascador gorra castaña",Residente (R),-100.1943898,17.4221123
Arremon virenticeps,"atlapetes rayas verdes, rascador cejas verdes",Residente (R),-102.007923,19.490593
Arremonops chloronotus,rascador dorso verde,Residente (R),-86.7262085,21.2276851
Arremonops chloronotus chloronotus,rascador dorso verde,Residente (R),-91.3075,16.1900278
Arremonops rufivirgatus,rascador oliváceo,Residente (R),-100.1943898,17.4221123
Artemisiospiza belli,zacatonero californiano,Residente (R),-115.996292,30.461875
Artemisiospiza nevadensis,zacatonero de artemisas,Migratoria de invierno (MI),-113.4333468,31.2874132
Asio clamator,"búho cara blanca, búho cara clara",Residente (R),-92.5560716,15.0554438
Asio flammeus,"búho cuerno corto, búho sabanero",Migratoria de invierno (MI),-114.580252,30.032752
Asio flammeus flammeus,búho cuerno corto,Migratoria de invierno (MI),-98.745,20.125
Asio otus,"búho cara café, búho cara canela",Residente (R); Migratoria de invierno (MI),-102.233884,22.348508
Asio stygius,búho cara oscura,Residente (R),-103.5403837,19.53381
Aspatha gularis,momoto garganta azul,Residente (R),-92.10799,15.09471
Athene cunicularia,tecolote llanero,Residente (R); Migratoria de invierno (MI),-100.581523,25.021968
Atlapetes albinucha,"atlapetes nuca blanca, rascador nuca blanca",Residente (R),-98.03407,20.211076
Atlapetes albinucha albinucha,atlapetes nuca blanca,Residente (R),-97.02,19.4183333
Atlapetes pileatus,"atlapetes gorra rufa, rascador gorra canela",Residente (R),-103.518863,19.533456
Atlapetes pileatus pileatus,atlapetes gorra rufa,Residente (R),-97.02,19.4183333
Atticora pileata,golondrina gorra negra,Residente (R),-92.0902778,15.075
Attila spadiceus,"Atila, mosquero atila",Residente (R),-96.4243948,15.9462477
Aulacorhynchus prasinus,"tucancillo verde, tucaneta verde",Residente (R),-100.1943898,17.4221123
Aulacorhynchus prasinus prasinus,tucaneta verde,Residente (R),-91.3065833,16.2008333
Auriparus flaviceps,baloncillo,Residente (R),-109.544274,28.4573233
Auriparus flaviceps flaviceps,baloncillo,Residente (R),-109.7833333,23.45
Automolus ochrolaemus,"breñero garganta pálida, musguero garganta pálida",Residente (R),-95.1468534,18.5228338
Aythya affinis,pato boludo menor,Migratoria de invierno (MI),-104.8109772,21.5174243
Aythya americana,pato cabeza roja,Residente (R); Migratoria de invierno (MI),-97.741616,23.767161
Aythya collaris,pato pico anillado,Migratoria de invierno (MI),-101.0526506,22.1508291
Aythya marila,pato boludo mayor,Migratoria de invierno (MI),-114.055155,27.9695368
Aythya valisineria,pato coacoxtle,Migratoria de invierno (MI),-89.583436,21.2923604
Baeolophus atricristatus,carbonero cresta negra,Residente (R),-102.755127,28.9556669
Baeolophus inornatus,"carbonero encinero, carbonero sencillo",Residente (R),-115.9085083,32.0453328
Baeolophus wollweberi,carbonero embridado,Residente (R),-102.9783333,18.755
Bartramia longicauda,zarapito ganga,Transitoria (T),-98.8679914,19.4905512
Basileuterus belli,chipe cejas doradas,Residente (R),-100.1943898,17.4221123
Basileuterus belli belli,chipe ceja dorada,Residente (R),-97.3333333,18.7
Basileuterus culicivorus,"chipe cejas negras, chipe corona dorada",Residente (R),-100.1943898,17.4221123
Basileuterus culicivorus culicivorus,chipe corona dorada,Residente (R),-96.8666667,19.3666667
Basileuterus lachrymosus,"chipe de roca, pavito de rocas",Residente (R),-100.1943898,17.4221123
Basileuterus rufifrons,"chipe gorra canela, chipe gorra rufa",Residente (R),-100.1943898,17.4221123
Basileuterus rufifrons rufifrons,chipe gorra rufa,Residente (R),-96.6833333,18.3833333
Basilinna leucotis,"zafiro oreja blanca, zafiro orejas blancas",Residente (R),-99.1195214,20.0073064
Basilinna xantusii,"zafiro bajacaliforniano, zafiro de Xantus",Residente (R),-110.221748,23.449437
Bolborhynchus lineola,"perico barrado, periquito barrado",Residente (R),-91.6739065,16.0997026
Bombycilla cedrorum,"ampelis chinito, chinito",Migratoria de invierno (MI),-96.4243948,15.9462477
Botaurus lentiginosus,avetoro norteño,Residente (R); Migratoria de invierno (MI),-97.0666667,20.5
Botaurus pinnatus,avetoro neotropical,Residente (R),-91.9952202,17.7202149
Brachyramphus marmoratus,alca marmoleada,Accidental (A); Oceánica (O),-116.6256237,31.8517525
Branta bernicla,ganso de collar,Migratoria de invierno (MI),-109.2345923,26.405194
Branta canadensis,"ganso canadiense, ganso canadiense mayor",Migratoria de invierno (MI),-107.1130085,29.2594112
Branta hutchinsii,"ganso cacareador, ganso canadiense menor",Migratoria de invierno (MI),-106.4263405,31.6877979
Brotogeris jugularis,"perico ala amarilla, periquito alas amarillas",Residente (R),-92.8918767,15.4802515
Bubo virginianus,búho cornudo,Residente (R),-99.1195214,20.0073064
Bubulcus ibis,garza ganadera,Residente (R); Migratoria de invierno (MI),-100.1943898,17.4221123
Bucephala albeola,pato monja,Migratoria de invierno (MI),-113.5288954,31.2964638
Bucephala clangula,pato chillón,Migratoria de invierno (MI),-109.2345923,26.405194
Bucephala islandica,pato islándico,Accidental (A),-113.4917092,31.3189611
Bulweria bulwerii,petrel de Bulwer,Accidental (A); Oceánica (O),-86.975555,20.475686
Burhinus bistriatus,alcaraván americano,Residente (R),-95.966681,18.849211
Burhinus bistriatus bistriatus,alcaraván americano,Residente (R),-93.9833333,16.5833333
Busarellus nigricollis,aguililla canela,Residente (R),-95.1468534,18.5228338
Busarellus nigricollis nigricollis,aguililla canela,Residente (R),-96.2733333,18.9033333
Buteo albonotatus,aguililla aura,Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV),-95.01698,18.35812
Buteo brachyurus,aguililla cola corta,Residente (R),-91.577934,16.967433
Buteo jamaicensis,"aguililla cola roja, águila cola roja",Residente (R); Migratoria de invierno (MI),-100.2394965,25.7954522
Buteo lagopus,aguililla ártica,Migratoria de invierno (MI),-108.0029389,31.1033683
Buteo lineatus,aguililla pecho rojo,Residente (R); Migratoria de invierno (MI),-100.0923359,25.6678167
Buteo lineatus lineatus,aguililla pecho rojo,Residente (R); Migratoria de invierno (MI),-104.4383333,19.6333333
Buteo plagiatus,aguililla gris,Residente (R),-100.1943898,17.4221123
Buteo platypterus,aguililla alas anchas,Migratoria de invierno (MI); Transitoria (T),-100.1943898,17.4221123
Buteo platypterus platypterus,aguililla ala ancha,Migratoria de invierno (MI); Transitoria (T),-94.8833333,18.3166667
Buteo regalis,aguililla real,Migratoria de invierno (MI),-100.581523,25.021968
Buteo swainsoni,aguililla de Swainson,Migratoria de verano (MV); Transitoria (T),-110.099659,23.3950452
Buteogallus anthracinus,aguililla negra menor,Residente (R); Migratoria de verano (MV),-100.1943898,17.4221123
Buteogallus anthracinus anthracinus,aguililla-negra menor,Residente (R); Migratoria de verano (MV),-107.0166667,24.4183333
Buteogallus solitarius,águila solitaria,Residente (R),-100.1943898,17.4221123
Buteogallus urubitinga,aguililla negra mayor,Residente (R),-94.3,17.15
Butorides virescens,"garceta verde, garcita verde",Residente (R); Migratoria de invierno (MI),-89.0320753,18.4323762
Butorides virescens virescens,garceta verde,Residente (R); Migratoria de invierno (MI),-99.1833333,24.0166667
Cairina moschata,pato real,Residente (R),-90.6670354,16.4666922
Calamospiza melanocorys,gorrión alas blancas,Migratoria de invierno (MI),-100.581523,25.021968
Calcarius lapponicus,escribano ártico,Accidental (A),-100.727967,24.8960325
Calcarius ornatus,escribano collar castaño,Migratoria de invierno (MI),-108.349,30.7114
Calidris acuminata,playero de cola afilada,Accidental (A),-110.9527383,18.7269151
Calidris alba,playero blanco,Migratoria de invierno (MI),-99.7637598,16.748347
Calidris alpina,playero dorso rojo,Migratoria de invierno (MI),-113.5288954,31.2964638
Calidris bairdii,playero de Baird,Transitoria (T),-98.9434957,19.2491515
Calidris canutus,"playero canuto, playero rojo",Migratoria de invierno (MI),-114.1785049,27.8032469
Calidris canutus canutus,playero canuto,Migratoria de invierno (MI),-114.8333333,31.0233333
Calidris ferruginea,playero zarapito,Accidental (A),-105.264473,21.5456249
Calidris fuscicollis,playero rabadilla blanca,Transitoria (T),-86.8428464,20.4236795
Calidris himantopus,playero zancón,Migratoria de invierno (MI); Transitoria (T),-105.603236,22.5731411
Calidris maritima,playero oscuro,Accidental (A),-105.267692,21.515467
Calidris mauri,playero occidental,Migratoria de invierno (MI); Transitoria (T),-99.7637598,16.748347
Calidris melanotos,playero pectoral,Migratoria de invierno (MI); Transitoria (T),-99.4973373,19.1531034
Calidris minuta,"playero menor, playero menudo",Accidental (A),-116.6373229,31.7079954
Calidris minutilla,"playero chichicuilote, playero diminuto",Migratoria de invierno (MI),-99.4973373,19.1531034
Calidris pugnax,playero combatiente,Accidental (A),-114.0392772,27.9659841
Calidris pusilla,playero semipalmeado,Migratoria de invierno (MI); Transitoria (T),-95.0140351,16.3339469
Calidris subruficollis,"playero leonado, playero ocre",Transitoria (T),-90.3677845,20.8925877
Calidris virgata,"playero brincaolas, playero roquero",Migratoria de invierno (MI),-110.8741435,23.955613
Callipepla californica,codorniz californiana,Residente (R),-116.678509,32.548971
Callipepla douglasii,codorniz cresta dorada,Residente (R),-109.544274,28.4573233
Callipepla douglasii douglasii,codorniz cresta dorada,Residente (R),-107.0166667,24.4183333
Callipepla gambelii,"codorniz chiquiri, codorniz de Gambel",Residente (R),-109.2345923,26.405194
Callipepla squamata,codorniz escamosa,Residente (R),-103.5738524,25.8777308
Callipepla squamata squamata,codorniz escamosa,Residente (R),-100.135,25.5483333
Calocitta colliei,"urraca cara negra, urraca-hermosa cara negra",Residente (R),-105.1531213,21.5057976
Calocitta formosa,"urraca cara blanca, urraca-hermosa cara blanca",Residente (R),-96.5787015,15.6707987
Calocitta formosa formosa,urraca-hermosa cara blanca,Residente (R),-105.325,20.3166667
Calonectris diomedea,pardela de Cory,Accidental (A); Oceánica (O),-95.9367015,18.8980371
Calothorax lucifer,colibrí lucifer,Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV),-99.1195214,20.0073064
Calothorax pulcher,"colibrí mixteco, colibrí tijereta oaxaqueño",Residente (R),-94.8912506,16.598907
Calypte anna,colibrí cabeza roja,Residente (R); Migratoria de invierno (MI),-114.0385838,27.9763292
Calypte costae,colibrí cabeza violeta,Residente (R); Migratoria de invierno (MI),-111.8385315,24.4502436
Campephilus guatemalensis,"carpintero pico plata, carpintero pico plateado",Residente (R),-100.1943898,17.4221123
Campephilus guatemalensis guatemalensis,carpintero pico plata,Residente (R),-91.3088056,16.1921111
Campephilus imperialis,carpintero imperial,Residente (R),-108.9866667,30.12
Camptostoma imberbe,"mosquerito chillón, mosquero lampiño",Residente (R),-89.0320753,18.4323762
Camptostoma imberbe imberbe,mosquero lampiño,Residente (R),-93.9833333,16.5833333
Campylopterus hemileucurus,fandanguero morado,Residente (R),-93.2736111,16.8694444
Campylopterus hemileucurus hemileucurus,fandanguero morado,Residente (R),-92.0933333,16.9016667
Campylorhynchus brunneicapillus,matraca del desierto,Residente (R),-100.581523,25.021968
Campylorhynchus chiapensis,matraca chiapaneca,Residente (R),-92.2333156,14.8890147
Campylorhynchus gularis,matraca serrana,Residente (R),-108.034941,27.320249
Campylorhynchus jocosus,matraca del Balsas,Residente (R),-96.510774,17.0098918
Campylorhynchus megalopterus,matraca barrada,Residente (R),-103.518863,19.533456
Campylorhynchus rufinucha,"matraca nuca canela, matraca nuca rufa",Residente (R),-100.1943898,17.4221123
Campylorhynchus rufinucha rufinucha,matraca nuca rufa,Residente (R),-95.9333333,18.8833333
Campylorhynchus yucatanicus,matraca yucateca,Residente (R),-89.83825,21.248864
Campylorhynchus zonatus,matraca tropical,Residente (R),-95.01698,18.35812
Cantorchilus modestus,"chivirín modesto, saltapared chinchibul",Residente (R),-100.1943898,17.4221123
Caracara lutosa,caracara de Isla Guadalupe,Residente (R),-118.2666666,29
Caracara plancus cheriway,caracara quebrantahuesos,Residente (R),-95.01698,18.35812
Cardellina canadensis,chipe de collar,Transitoria (T),-92.3415291,17.1707024
Cardellina pusilla,chipe corona negra,Migratoria de invierno (MI),-100.1943898,17.4221123
Cardellina rubra,chipe rojo,Residente (R),-100.1943898,17.4221123
Cardellina rubrifrons,chipe cara roja,Migratoria de invierno (MI); Migratoria de verano (MV),-105.5,23.6166667
Cardellina versicolor,chipe rosado,Residente (R),-92.528605,16.673972
Cardinalis cardinalis,cardenal rojo,Residente (R),-89.0320753,18.4323762
Cardinalis sinuatus,"cardenal desértico, cardenal pardo",Residente (R),-103.5738524,25.8777308
Cardinalis sinuatus sinuatus,cardenal pardo,Residente (R),-105.7766667,22.8316667
Caryothraustes poliogaster,picogordo cara negra,Residente (R),-91.577934,16.967433
Caryothraustes poliogaster poliogaster,picogordo cara negra,Residente (R),-91.2991389,16.2030556
Cassiculus melanicterus,cacique mexicano,Residente (R),-100.1943898,17.4221123
Cathartes aura,zopilote aura,Residente (R),-100.1943898,17.4221123
Cathartes aura aura,zopilote aura,Residente (R),-91.0730556,16.0789722
Cathartes burrovianus,zopilote sabanero,Residente (R),-91.9952202,17.7202149
Catharus aurantiirostris,zorzal pico naranja,Residente (R); Migratoria de invierno (MI),-100.1943898,17.4221123
Catharus dryas,zorzal pecho amarillo,Residente (R),-92.085257,15.086542
Catharus frantzii,zorzal de Frantzius,Residente (R),-100.1943898,17.4221123
Catharus fuscescens,"zorzal canelo, zorzal rojizo",Transitoria (T),-96.0906816,19.0674862
Catharus guttatus,"zorzal cola canela, zorzal cola rufa",Migratoria de invierno (MI),-97.4172547,18.9481856
Catharus mexicanus,zorzal corona negra,Residente (R),-95.1468534,18.5228338
Catharus minimus,zorzal cara gris,Transitoria (T),-89.6579445,20.9770287
Catharus occidentalis,zorzal mexicano,Residente (R),-99.211,19.022
Catharus ustulatus,"zorzal de Swainson, zorzal de anteojos",Migratoria de invierno (MI); Transitoria (T),-100.1943898,17.4221123
Catherpes mexicanus,"chivirín barranqueño, saltapared barranqueño",Residente (R),-99.1014007,18.9658571
Catherpes mexicanus mexicanus,chivirín barranqueño,Residente (R),-91.3063333,16.2067778
Celeus castaneus,carpintero castaño,Residente (R),-89.0833,18.5
Centronyx bairdii,gorrión de Baird,Migratoria de invierno (MI),-108.349,30.7114
Cepphus columba,arao pichón,Accidental (A); Oceánica (O),-117.270703,32.4257477
Cepphus columba columba,arao pichón,Accidental (A); Oceánica (O),-117.25,32.4333333
Ceratopipra mentalis,"manaquín cabeza roja, saltarín cabeza roja",Residente (R),-94.3,17.15
Cercomacroides tyrannina,"hormiguero cantor, hormiguero tirano",Residente (R),-96.3405674,17.6638143
Cerorhinca monocerata,alca rinoceronte,Migratoria de invierno (MI); Oceánica (O),-116.6363525,31.1752098
Certhia americana,"trepador americano, trepadorcito americano",Residente (R); Migratoria de invierno (MI),-103.518863,19.533456
Chaetura pelagica,vencejo de chimenea,Transitoria (T),-97.7851868,23.7798469
Chaetura vauxi,vencejo de Vaux,Residente (R); Transitoria (T),-100.1943898,17.4221123
Chamaea fasciata,camea,Residente (R),-116.499413,31.795886
Charadrius collaris,chorlo de collar,Residente (R),-99.7637598,16.748347
Charadrius melodus,chorlo chiflador,Migratoria de invierno (MI),-87.295299,20.4281749
Charadrius montanus,chorlo llanero,Migratoria de invierno (MI),-101.240392,22.017981
Charadrius morinellus,chorlo carambolo,Accidental (A),-116.813035,32.0676288
Charadrius nivosus,chorlo nevado,Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV),-113.5288954,31.2964638
Charadrius nivosus nivosus,chorlo nevado,Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV),-90.395,20.8616667
Charadrius semipalmatus,chorlo semipalmeado,Migratoria de invierno (MI),-99.7637598,16.748347
Charadrius vociferus,chorlo tildío,Residente (R); Migratoria de invierno (MI),-100.581523,25.021968
Charadrius vociferus vociferus,chorlo tildío,Residente (R); Migratoria de invierno (MI),-112.84,31.8583333
Charadrius wilsonia,chorlo pico grueso,Residente (R); Migratoria de invierno (MI),-97.7375,23.7916667
Charadrius wilsonia wilsonia,chorlo pico grueso,Residente (R); Migratoria de invierno (MI),-98,22.2166667
Chiroxiphia linearis,"manaquín cola larga, saltarín toledo",Residente (R),-92.8918767,15.4802515
Chlidonias niger,charrán negro,Migratoria de invierno (MI); Transitoria (T),-113.5321021,31.3265914
Chlorestes candida,colibrí cándido,Residente (R); Migratoria de invierno (MI),-95.01698,18.35812
Chlorestes candida candida,colibrí cándido,Residente (R); Migratoria de invierno (MI),-94.1333333,16.3866667
Chlorestes eliciae,zafiro garganta azul,Residente (R),-92.850105,15.592826
Chloroceryle aenea,martín pescador enano,Residente (R),-88.3196818,18.5067885
Chloroceryle amazona,martín pescador amazónico,Residente (R),-99.2978668,23.0203401
Chloroceryle americana,martín pescador verde,Residente (R),-109.5463004,28.4557269
Chlorophanes spiza,mielero verde,Residente (R),-91.9898987,17.3781632
Chlorophonia elegantissima,"eufonia capucha azul, eufonia gorra azul",Residente (R),-96.4243948,15.9462477
Chlorophonia occipitalis,clorofonia corona azul,Residente (R),-95.1468534,18.5228338
Chlorospingus flavopectus,chinchinero común,Residente (R),-100.1943898,17.4221123
Chondestes grammacus,gorrión arlequín,Residente (R); Migratoria de invierno (MI),-109.928211,23.657133
Chondestes grammacus grammacus,gorrión arlequín,Residente (R); Migratoria de invierno (MI),-99.5,17.55
Chondrohierax uncinatus,gavilán pico de gancho,Residente (R); Migratoria de invierno (MI),-99.1195214,20.0073064
Chondrohierax uncinatus uncinatus,gavilán pico gancho,Residente (R); Migratoria de invierno (MI),-105.59,23.0666667
Chordeiles acutipennis,chotacabras menor,Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV),-109.4380975,23.2440669
Chordeiles minor,chotacabras zumbón,Migratoria de verano (MV); Transitoria (T),-95,16.9266667
Chroicocephalus philadelphia,gaviota de Bonaparte,Migratoria de invierno (MI),-113.5288954,31.2964638
Cinclus mexicanus,mirlo acuático norteamericano,Residente (R),-98.03407,20.211076
Circus hudsonius,gavilán rastrero,Residente (R); Migratoria de invierno (MI),-100.581523,25.021968
Cistothorus palustris,"chivirín pantanero, saltapared pantanero",Residente (R); Migratoria de invierno (MI),-99.4973373,19.1531034
Cistothorus palustris palustris,chivirín pantanero,Residente (R); Migratoria de invierno (MI),-97.835,22.2516667
Cistothorus platensis,"chivirín sabanero, saltapared sabanero",Residente (R); Migratoria de invierno (MI),-99.0156555,19.1555466
Cistothorus stellaris,chivirín de ciénega norteño,Residente (R); Migratoria de invierno (MI),-100.0216667,21.8516667
